Time (EET),Open,High,Low,Close,Volume 
2025.01.02 01:00:00,21073.681,21117.813,21051.611,21105.779,0.11745
2025.01.02 01:10:00,21105.224,21108.69,21090.857,21092.747,0.05913
2025.01.02 01:20:00,21092.669,21100.968,21084.201,21095.413,0.05949
2025.01.02 01:30:00,21095.635,21102.357,21048.29,21066.091,0.09171
2025.01.02 01:40:00,21065.913,21068.836,21041.836,21049.813,0.08739
2025.01.02 01:50:00,21050.135,21066.669,21048.892,21064.203,0.05895
2025.01.02 02:00:00,21064.111,21064.836,21020.602,21033.611,0.12051
2025.01.02 02:10:00,21033.957,21033.957,20919.225,20949.314,0.16524
2025.01.02 02:20:00,20949.203,20960.225,20931.303,20941.268,0.12816
2025.01.02 02:30:00,20941.411,20986.458,20930.99,20981.258,0.13608
2025.01.02 02:40:00,20982.169,21037.413,20978.769,21024.346,0.12843
2025.01.02 02:50:00,21023.857,21045.625,21018.224,21028.69,0.11808
2025.01.02 03:00:00,21028.703,21079.336,21028.703,21056.881,0.171
2025.01.02 03:10:00,21056.847,21083.847,21056.847,21065.792,0.12564
2025.01.02 03:20:00,21065.924,21095.779,21062.201,21080.102,0.1287
2025.01.02 03:30:00,21079.969,21106.325,21060.747,21101.381,0.15408
2025.01.02 03:40:00,21101.101,21103.111,21084.224,21091.18,0.12834
2025.01.02 03:50:00,21090.335,21110.401,21085.38,21092.435,0.10584
2025.01.02 04:00:00,21091.668,21104.692,21085.424,21095.325,0.10404
2025.01.02 04:10:00,21095.225,21100.402,21085.392,21098.091,0.0873
2025.01.02 04:20:00,21098.247,21120.447,21094.611,21118.247,0.09351
2025.01.02 04:30:00,21118.479,21122.381,21106.846,21121.314,0.09189
2025.01.02 04:40:00,21121.247,21128.747,21118.191,21124.913,0.09945
2025.01.02 04:50:00,21124.89,21129.98,21112.614,21119.79,0.09909
2025.01.02 05:00:00,21119.114,21123.457,21107.902,21112.713,0.08649
2025.01.02 05:10:00,21113.011,21118.714,21106.225,21118.281,0.08064
2025.01.02 05:20:00,21118.224,21136.779,21114.947,21127.903,0.09522
2025.01.02 05:30:00,21127.825,21131.257,21114.868,21115.713,0.06939
2025.01.02 05:40:00,21115.679,21116.49,21092.192,21101.113,0.10341
2025.01.02 05:50:00,21100.968,21110.835,21100.624,21104.091,0.0765
2025.01.02 06:00:00,21105.768,21114.857,21098.368,21110.691,0.08487
2025.01.02 06:10:00,21109.601,21111.979,21095.201,21101.714,0.06957
2025.01.02 06:20:00,21101.379,21104.457,21085.135,21101.891,0.08685
2025.01.02 06:30:00,21102.103,21119.414,21100.468,21116.614,0.08325
2025.01.02 06:40:00,21116.701,21125.179,21114.958,21120.291,0.07011
2025.01.02 06:50:00,21120.603,21132.647,21118.601,21121.401,0.06939
2025.01.02 07:00:00,21122.303,21128.269,21118.692,21120.902,0.08028
2025.01.02 07:10:00,21121.269,21151.692,21120.802,21147.701,0.10431
2025.01.02 07:20:00,21147.769,21150.325,21141.757,21147.279,0.0837
2025.01.02 07:30:00,21146.868,21157.146,21138.279,21150.803,0.07956
2025.01.02 07:40:00,21150.391,21170.592,21150.101,21170.592,0.08253
2025.01.02 07:50:00,21171.18,21173.658,21162.191,21167.979,0.07083
2025.01.02 08:00:00,21168.135,21170.446,21160.224,21166.757,0.06984
2025.01.02 08:10:00,21168.602,21179.647,21161.611,21179.225,0.06687
2025.01.02 08:20:00,21179.238,21179.411,21153.746,21161.279,0.07794
2025.01.02 08:30:00,21161.111,21186.88,21158.703,21179.691,0.09279
2025.01.02 08:40:00,21179.201,21187.969,21176.647,21181.135,0.06192
2025.01.02 08:50:00,21181.692,21193.335,21176.913,21186.424,0.06507
2025.01.02 09:00:00,21186.757,21194.924,21177.858,21185.79,0.10179
2025.01.02 09:10:00,21185.411,21185.691,21169.225,21176.136,0.07839
2025.01.02 09:20:00,21175.969,21180.225,21170.858,21179.211,0.08289
2025.01.02 09:30:00,21179.28,21179.28,21158.001,21167.757,0.09234
2025.01.02 09:40:00,21167.602,21169.99,21143.402,21151.401,0.09783
2025.01.02 09:50:00,21151.357,21163.18,21149.381,21154.903,0.1008
2025.01.02 10:00:00,21154.911,21207.169,21151.411,21203.924,0.21024
2025.01.02 10:10:00,21203.269,21221.425,21188.979,21203.711,0.18252
2025.01.02 10:20:00,21204.425,21204.425,21140.39,21144.335,0.19026
2025.01.02 10:30:00,21144.69,21164.158,21115.969,21132.846,0.22104
2025.01.02 10:40:00,21132.769,21171.969,21132.201,21166.424,0.20016
2025.01.02 10:50:00,21166.613,21180.668,21153.824,21172.68,0.1683
2025.01.02 11:00:00,21171.292,21189.157,21147.758,21183.824,0.21438
2025.01.02 11:10:00,21183.511,21202.758,21182.111,21196.98,0.16281
2025.01.02 11:20:00,21197.325,21197.746,21177.279,21191.379,0.14769
2025.01.02 11:30:00,21191.769,21195.836,21158.902,21168.291,0.16011
2025.01.02 11:40:00,21167.914,21196.39,21164.18,21192.501,0.15984
2025.01.02 11:50:00,21192.636,21200.724,21177.646,21199.735,0.12618
2025.01.02 12:00:00,21199.457,21208.192,21175.647,21190.836,0.14598
2025.01.02 12:10:00,21190.892,21192.436,21157.268,21183.147,0.14382
2025.01.02 12:20:00,21181.713,21189.113,21173.201,21182.936,0.11727
2025.01.02 12:30:00,21182.011,21201.224,21178.511,21197.247,0.12024
2025.01.02 12:40:00,21196.824,21199.157,21188.713,21194.647,0.09738
2025.01.02 12:50:00,21194.457,21196.98,21163.501,21194.968,0.1449
2025.01.02 13:00:00,21195.325,21196.113,21168.101,21184.736,0.14778
2025.01.02 13:10:00,21184.803,21205.169,21184.081,21200.681,0.12177
2025.01.02 13:20:00,21200.424,21203.647,21193.247,21198.78,0.10197
2025.01.02 13:30:00,21198.48,21202.403,21183.414,21200.914,0.11457
2025.01.02 13:40:00,21200.791,21244.224,21200.211,21238.957,0.14238
2025.01.02 13:50:00,21239.324,21266.881,21227.701,21264.391,0.1467
2025.01.02 14:00:00,21264.625,21277.724,21253.257,21273.181,0.18945
2025.01.02 14:10:00,21274.357,21287.49,21265.703,21275.147,0.171
2025.01.02 14:20:00,21276.092,21283.603,21269.335,21280.713,0.13032
2025.01.02 14:30:00,21280.836,21283.958,21262.611,21272.426,0.1302
2025.01.02 14:40:00,21239.768,21247.979,21234.624,21239.668,0.04716
2025.01.02 14:50:00,21239.414,21244.468,21211.201,21241.124,0.18162
2025.01.02 15:00:00,21240.98,21248.891,21228.835,21236.625,0.17172
2025.01.02 15:10:00,21236.468,21238.49,21219.511,21220.269,0.14841
2025.01.02 15:20:00,21220.125,21233.379,21207.191,21215.49,0.17811
2025.01.02 15:30:00,21215.379,21254.702,21202.501,21245.868,0.18387
2025.01.02 15:40:00,21245.901,21263.758,21233.203,21238.369,0.19053
2025.01.02 15:50:00,21238.457,21238.457,21209.402,21214.757,0.1899
2025.01.02 16:00:00,21214.647,21217.39,21132.99,21173.101,0.27414
2025.01.02 16:10:00,21173.281,21192.257,21155.78,21160.28,0.22977
2025.01.02 16:20:00,21160.158,21166.281,21142.88,21145.89,0.24129
2025.01.02 16:30:00,21145.724,21167.825,20969.857,20971.824,0.50884
2025.01.02 16:40:00,20971.881,21101.758,20963.724,21098.781,0.47575
2025.01.02 16:50:00,21099.714,21205.169,21087.324,21189.711,0.45936
2025.01.02 17:00:00,21191.735,21243.679,21171.591,21218.469,0.47342
2025.01.02 17:10:00,21216.713,21241.324,21157.336,21158.324,0.44064
2025.01.02 17:20:00,21159.258,21168.99,21055.368,21088.869,0.50314
2025.01.02 17:30:00,21087.825,21098.658,21025.592,21054.336,0.48535
2025.01.02 17:40:00,21055.357,21098.436,21010.403,21093.101,0.44641
2025.01.02 17:50:00,21094.192,21129.914,21054.769,21076.203,0.41813
