Time (EET),Open,High,Low,Close,Volume 
2025.01.02 01:00:00,21070.242,21114.409,21048.187,21102.21,0.1305
2025.01.02 01:10:00,21101.754,21105.186,21087.354,21089.221,0.0657
2025.01.02 01:20:00,21089.11,21097.519,21080.809,21091.986,0.0661
2025.01.02 01:30:00,21092.153,21098.953,21044.72,21062.687,0.1019
2025.01.02 01:40:00,21062.498,21065.385,21038.365,21046.599,0.0971
2025.01.02 01:50:00,21046.899,21063.131,21045.431,21060.72,0.0655
2025.01.02 02:00:00,21060.82,21061.599,21017.143,21030.398,0.1339
2025.01.02 02:10:00,21030.487,21030.851,20915.776,20946.089,0.1836
2025.01.02 02:20:00,20945.732,20956.999,20927.864,20937.71,0.1424
2025.01.02 02:30:00,20938.399,20982.999,20927.475,20977.787,0.1512
2025.01.02 02:40:00,20978.621,21034.019,20975.287,21020.876,0.1427
2025.01.02 02:50:00,21020.387,21042.131,21014.787,21025.198,0.1312
2025.01.02 03:00:00,21025.298,21075.909,21025.298,21053.42,0.19
2025.01.02 03:10:00,21053.342,21080.354,21053.342,21062.398,0.1396
2025.01.02 03:20:00,21062.508,21092.275,21058.72,21076.889,0.143
2025.01.02 03:30:00,21076.652,21103.089,21057.319,21098.019,0.1712
2025.01.02 03:40:00,21098.089,21099.898,21080.754,21087.889,0.1426
2025.01.02 03:50:00,21086.81,21107.153,21081.908,21088.921,0.1176
2025.01.02 04:00:00,21088.11,21101.221,21081.92,21091.875,0.1156
2025.01.02 04:10:00,21091.742,21097.951,21082.009,21094.642,0.097
2025.01.02 04:20:00,21094.776,21116.964,21091.12,21114.72,0.1039
2025.01.02 04:30:00,21114.965,21118.975,21103.419,21117.865,0.1021
2025.01.02 04:40:00,21117.764,21125.298,21114.999,21121.486,0.1105
2025.01.02 04:50:00,21121.353,21126.498,21109.154,21116.232,0.1101
2025.01.02 05:00:00,21115.675,21119.92,21104.508,21109.232,0.0961
2025.01.02 05:10:00,21109.71,21115.399,21102.71,21114.897,0.0896
2025.01.02 05:20:00,21114.797,21133.231,21111.443,21124.465,0.1058
2025.01.02 05:30:00,21124.419,21127.743,21111.31,21112.21,0.0771
2025.01.02 05:40:00,21112.197,21113.099,21088.999,21097.899,0.1149
2025.01.02 05:50:00,21097.453,21107.398,21097.121,21100.664,0.085
2025.01.02 06:00:00,21102.319,21111.375,21094.832,21107.22,0.0943
2025.01.02 06:10:00,21106.332,21108.509,21091.842,21098.309,0.0773
